Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,8128.55,97542.6,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),4x EC2 c4.4xlarge,Amazon EC2 ,0,1184.44,14213.28,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, 10 instances), Advanced EC2 instance type (c4.4xlarge), Pricing strategy (On-Demand, 100% Utilized/Month), Monitoring (disabled), Data Transfer Inbound (0 TB/month), Data Transfer Outbound (0 TB/month), Data Transfer Intra-Region (0 TB/month)."
My Estimate,US East (N. Virginia),CloudFront pricing,Amazon CloudFront,0,1175.2,14102.4,USD,,"Data transfer out to internet (10 TB per month), Data transfer out to origin (10 TB per month), Number of requests (HTTPS) (100000000 per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,2304,27648,USD,,S3 Standard storage (100 TB per month)
My Estimate,US East (N. Virginia),,VPN Connection,0,0,0,USD,,
My Estimate,US East (N. Virginia),Route 53 pricing,Amazon Route 53,0,130.5,1566,USD,,Hosted Zones (1)
My Estimate,US East (N. Virginia),,Application Load Balancer,0,93.08,1116.96,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),VPC pricing,Network Address Translation (NAT) Gateway,0,348,4176,USD,,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),2x db.r5.2xlarge,Amazon Aurora MySQL-Compatible,0,"2,893.33",34719.96,USD,,"Aurora MySQL cluster configured with (Aurora Standard) option. Instance type set as (db.r5.2xlarge), with (2 nodes), (100% utilization per month), and (memory optimized) instance family. Pricing model chosen as (OnDemand). Storage amount is (10 TB)."
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
